No,Bulan,Bintang 5,Bintang 4,Bintang 2,Bintang 3,Bintang 1,Melati 3,Melati 2,Melati 1,Losmen
1,Januari ,10154451745,13400155468,5681601520,2241009691,201917560,2490452985,666480018,622107410,435731865
2,Februari,6545153014,7989164786,3377308448,1401692770,104983910,1561462040,440209106,425938828,487714331
3,Maret,6168177465,8190799290,3336872264,1377879360,118492351,1510436165,434052035,403645071,449909821
4,April,7018216963,9422238160,3948452457,1488258453,123745438,1698438279,469597366,425698806,443603002
5,Mei,6759278361,9724247626,4043190722,1548980883,118076099,1778801634,489254676,445564008,426402726
6,Juni,5209590379,7076628749,2722394006,965337263,106734758,1079119873,327483579,308134064,408718191
7,Juli,8048274301,10292711270,4345073965,1705631927,141752557,2030770486,544937998,525351225,426604427
8,Agustus ,7563553389,11537509788,4448419680,1661573488,197814340,1974561457,511017243,486853586,428080971
9,September,6719338853,9650274896,4121334002,1551928929,99441875,1765705938,470743613,458977130,439607238
10,Oktober,7275514094,9245482062,3831996230,1465226357,140928000,1712573131,435404682,431248335,440519768
11,November,7310966833,11202592826,4133609624,1509611592,126945018,1708079946,478536952,464854106,452807171
12,Desember,8306217623,12175848756,5071766672,1736463704,116837025,1960276894,532390038,487249400,448100580